T800WaSW03,279.07
RH800WaSW03,85.67
U700WaSW03,15.87
V700WaSW03,9.85
T700WaSW03,272.70
RH700WaSW03,98.31
U600WaSW03,18.38
V600WaSW03,10.11
T600WaSW03,266.88
RH600WaSW03,55.07
U500WaSW03,22.40
V500WaSW03,7.10
T500WaSW03,257.24
RH500WaSW03,50.46
U1000WaSW04,0.43
V1000WaSW04,-5.23
T1000WaSW04,291.29
RH1000WaSW04,71.68
U975WaSW04,0.50
V975WaSW04,-5.14
T975WaSW04,289.27
RH975WaSW04,78.51
U950WaSW04,1.22
V950WaSW04,-3.84
T950WaSW04,287.62
RH950WaSW04,81.80
U925WaSW04,3.18
V925WaSW04,0.10
T925WaSW04,286.94
RH925WaSW04,79.38
U900WaSW04,4.64
V900WaSW04,2.78
T900WaSW04,285.85
RH900WaSW04,82.89
U850WaSW04,6.76
V850WaSW04,4.64
T850WaSW04,282.62
RH850WaSW04,84.37
U800WaSW04,7.88
V800WaSW04,5.66
T800WaSW04,278.77
RH800WaSW04,85.59
U700WaSW04,16.78
V700WaSW04,10.42
T700WaSW04,273.22
RH700WaSW04,96.74
U600WaSW04,18.50
V600WaSW04,10.32
T600WaSW04,267.18
RH600WaSW04,43.81
U500WaSW04,24.77
V500WaSW04,9.09
T500WaSW04,257.41
RH500WaSW04,48.16
U1000WaSW05,0.30
V1000WaSW05,-4.99
T1000WaSW05,291.54
RH1000WaSW05,71.30
U975WaSW05,0.39
V975WaSW05,-4.86
T975WaSW05,289.54
RH975WaSW05,77.59
U950WaSW05,1.57
V950WaSW05,-2.91
T950WaSW05,288.12
RH950WaSW05,78.20
U925WaSW05,3.92
V925WaSW05,0.94
T925WaSW05,287.51
RH925WaSW05,74.11
U900WaSW05,6.18
V900WaSW05,3.55
T900WaSW05,286.35
RH900WaSW05,73.17
U850WaSW05,8.07
V850WaSW05,5.15
T850WaSW05,282.94
RH850WaSW05,77.36
U800WaSW05,11.66
V800WaSW05,5.57
T800WaSW05,279.06
RH800WaSW05,92.75
U700WaSW05,15.67
V700WaSW05,9.20
T700WaSW05,273.31
RH700WaSW05,90.58
U600WaSW05,17.91
V600WaSW05,10.50
T600WaSW05,266.80
RH600WaSW05,44.27
U500WaSW05,23.83
V500WaSW05,12.18
T500WaSW05,257.40
RH500WaSW05,44.46
U1000WaSW06,0.05
V1000WaSW06,-4.71
T1000WaSW06,291.85
RH1000WaSW06,70.60
U975WaSW06,0.15
V975WaSW06,-4.55
T975WaSW06,289.86
RH975WaSW06,76.47
U950WaSW06,1.80
V950WaSW06,-2.40
T950WaSW06,288.52
RH950WaSW06,75.84
U925WaSW06,4.47
V925WaSW06,0.72
T925WaSW06,287.69
RH925WaSW06,72.61
U900WaSW06,6.50
V900WaSW06,2.62
T900WaSW06,286.43
RH900WaSW06,73.21
U850WaSW06,8.88
V850WaSW06,3.40
T850WaSW06,283.01
RH850WaSW06,78.57
U800WaSW06,13.56
V800WaSW06,4.15
T800WaSW06,280.15
RH800WaSW06,72.80
U700WaSW06,14.59
V700WaSW06,7.88
T700WaSW06,273.35
RH700WaSW06,86.58
U600WaSW06,15.34
V600WaSW06,12.65
T600WaSW06,266.21
RH600WaSW06,67.11
U500WaSW06,21.73
V500WaSW06,13.60
T500WaSW06,257.19
RH500WaSW06,46.98
U1000WaSW07,0.93
V1000WaSW07,-4.53
T1000WaSW07,292.23
RH1000WaSW07,69.06
U975WaSW07,0.98
V975WaSW07,-4.41
T975WaSW07,290.20
RH975WaSW07,75.23
U950WaSW07,2.15
V950WaSW07,-2.83
T950WaSW07,288.60
RH950WaSW07,77.09
U925WaSW07,4.69
V925WaSW07,-0.19
T925WaSW07,287.57
RH925WaSW07,74.42
U900WaSW07,6.35
V900WaSW07,1.12
T900WaSW07,286.35
RH900WaSW07,72.84
U850WaSW07,9.42
V850WaSW07,1.91
T850WaSW07,283.50
RH850WaSW07,65.46
U800WaSW07,13.35
V800WaSW07,3.79
T800WaSW07,281.31
RH800WaSW07,48.19
U700WaSW07,13.62
V700WaSW07,5.83
T700WaSW07,273.54
RH700WaSW07,55.29
U600WaSW07,16.51
V600WaSW07,13.19
T600WaSW07,265.56
RH600WaSW07,83.37
U500WaSW07,20.91
V500WaSW07,14.56
T500WaSW07,256.49
RH500WaSW07,57.18
U1000WaSW08,2.35
V1000WaSW08,-6.68
T1000WaSW08,292.24
RH1000WaSW08,69.67
U975WaSW08,2.37
V975WaSW08,-6.64
T975WaSW08,290.16
RH975WaSW08,76.73
U950WaSW08,2.43
V950WaSW08,-6.47
T950WaSW08,288.13
RH950WaSW08,83.92
U925WaSW08,3.38
V925WaSW08,-4.68
T925WaSW08,286.45
RH925WaSW08,86.70
U900WaSW08,5.23
V900WaSW08,-1.86
T900WaSW08,285.25
RH900WaSW08,84.97
U850WaSW08,7.90
V850WaSW08,0.23
T850WaSW08,282.34
RH850WaSW08,81.64
U800WaSW08,12.89
V800WaSW08,1.98
T800WaSW08,280.00
RH800WaSW08,57.54
U700WaSW08,13.46
V700WaSW08,10.40
T700WaSW08,273.83
RH700WaSW08,79.53
U600WaSW08,16.66
V600WaSW08,12.51
T600WaSW08,265.43
RH600WaSW08,68.32
U500WaSW08,21.45
V500WaSW08,15.43
T500WaSW08,255.91
RH500WaSW08,65.54
U1000WaSW09,1.71
V1000WaSW09,-6.84
T1000WaSW09,292.35
RH1000WaSW09,66.84
